Alabama,AL,1819,Montgomery,155.4,205764
Alaska,AK,1959,Juneau,2716.7,31275
Arizona,AZ,1912,Phoenix,474.9,1445
Arkansas,AR,1836,LittleRock,116.2,193524
California,CA,1850,Sacramento,97.2,466488
Colorado,CO,1876,Denver,153.4,600158
Connecticut,CT,1788,Hartford,17.3,124775
Delaware,DE,1787,Dover,22.4,3647
Florida,FL,1845,Tallahassee,95.7,181412
Georgia,GA,1788,Atlanta,131.7,4203
Hawaii,HI,1959,Honolulu,85.7,337256
Idaho,ID,1890,Boise,63.8,205671
Illinois,IL,1818,Springfield,54,116250
Indiana,IN,1816,Indianapolis,361.5,829718
Iowa,IA,1846,DesMoines,75.8,203433
Kansas,KS,1861,Topeka,56,127473
Kentucky,KY,1792,Frankfort,14.7,25527
Louisiana,LA,1812,BatonRouge,76.8,229553
Maine,ME,1820,Augusta,55.4,19136
Maryland,MD,1788,Annapolis,6.73,38394
Massachusetts,MA,1788,Boston,48.4,617594
Michigan,MI,1837,Lansing,35,114297
Minnesota,MN,1858,SaintPaul,52.8,300851
Mississippi,MS,1817,Jackson,104.9,173514
Missouri,MO,1821,JeffersonCity,27.3,4379
Montana,MT,1889,Helena,14,28190
Nebraska,NE,1867,Lincoln,74.6,258379
Nevada,NV,1864,CarsonCity,143.4,55274
NewHampshire,NH,1788,Concord,64.3,42695
NewJersey,NJ,1787,Trenton,7.66,84913
NewMexico,NM,1912,SantaFe,37.3,75764
NewYork,NY,1788,Albany,21.4,97856
NorthCarolina,NC,1789,Raleigh,114.6,403892
NorthDakota,ND,1889,Bismarck,26.9,61272
Ohio,OH,1803,Columbus,210.3,822553
Oklahoma,OK,1907,OklahomaCity,607,5800
Oregon,OR,1859,Salem,45.7,154637
Pennsylvania,PA,1787,Harrisburg,8.11,49528
RhodeIsland,RI,1790,Providence,18.5,17842
SouthCarolina,SC,1788,Columbia,125.2,131686
SouthDakota,SD,1889,Pierre,13,13646
Tennessee,TN,1796,Nashville,473.3,635710
Texas,TX,1845,Austin,251.5,790390
Utah,UT,1896,SaltLakeCity,109.1,186440
Vermont,VT,1791,Montpelier,10.2,7855
Virginia,VA,1788,Richmond,60.1,204214
Washington,WA,1889,Olympia,16.7,46478
WestVirginia,WV,1863,Charleston,31.6,51400
Wisconsin,WI,1848,Madison,68.7,233209
Wyoming,WY,1890,Cheyenne,21.1,59466
